,SMILES,logS
sample_50,CCOC=O,0.15
sample_51,C=CC#N,0.15
sample_52,CC1CCCO1,0.11
sample_53,CC(C)(C)OC(N)=O,0.1
sample_54,CCC(C)(C)O,0.08
sample_55,NNc1ccccc1,0.07
sample_56,CC(C)CO,0.04
sample_57,CCS(=O)(=O)CC,0.04
sample_58,c1cnc2ncncc2n1,0.02
sample_59,NNC(=O)c1ccncc1,0.01
sample_60,Oc1ccccc1,0
sample_61,CCCC=O,-0.01
sample_62,CN1C2CCC1C(C(=O)O)C(O)C2,-0.02
sample_63,C1CCOCC1,-0.03
sample_64,CCC1NC(=O)NC1=O,-0.06
sample_65,Cc1cc(O)no1,-0.07
sample_66,CC(O)C(N)C(=O)O,-0.09
sample_67,CCOCC,-0.09
sample_68,O=Cc1ccco1,-0.1
sample_69,Cc1ncc2nccnc2n1,-0.12
sample_70,CC(C)(S)C(N)C(=O)O,-0.13
sample_71,CCN(CC)CC,-0.14
sample_72,c1cc[nH]c1,-0.17
sample_73,OC1CC(O)C(O)C(O)C1O,-0.17
sample_74,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,-0.17
sample_75,O=NN1CCCCC1,-0.17
sample_76,CCCC(C)=O,-0.19
sample_77,CCCC(=O)O,-0.19
sample_78,CN(C)NC(=O)CCC(=O)O,-0.2
sample_79,O=C(O)CCC(=O)O,-0.2
sample_80,CC(C)C(C)O,-0.2
sample_81,C=CC(=O)OC,-0.22
sample_82,CCC(O)CC,-0.24
sample_83,O=C(O)C1C2CCC(O2)C1C(=O)O,-0.27
sample_84,CCCC(C)O,-0.29
sample_85,CC(C)(C(=O)O)C(C)(CC(=O)O)C(=O)O,-0.29
sample_86,N#CCCCl,-0.29
sample_87,OCc1ccccc1O,-0.29
sample_88,CC(C)COC(N)=O,-0.3
sample_89,N#CN=C(N)N,-0.31
sample_90,CCC(C)(O)CC,-0.38
sample_91,Nc1ccc(N)cc1,-0.38
sample_92,CCCOC,-0.39
sample_93,CC(C)C(C)CO,-0.39
sample_94,OCc1ccccc1,-0.4
sample_95,CSCCC(N)C(=O)O,-0.42
sample_96,Nc1ccccc1N,-0.42
sample_97,CNC(C)C(O)c1ccccc1,-0.42
sample_98,OC1CCCCC1,-0.44
sample_99,CC(=O)CC1CCCCN1,-0.45
sample_100,Oc1cccnc1,-0.46
sample_101,COC(=O)c1cccnc1,-0.46
sample_102,Cc1ncnc2nccnc12,-0.47
sample_103,NCC(O)c1ccccc1,-0.48
sample_104,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,-0.48
sample_105,CCCOC=O,-0.49
sample_106,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,-0.5
sample_107,CC(C)(C)CCO,-0.5
sample_108,NC(Cc1c[nH]cn1)C(=O)O,-0.53
sample_109,CCCC(O)C(CC)CO,-0.54
sample_110,NC(=O)CCC(N)C(=O)O,-0.55
sample_111,CC1CO1,-0.59
sample_112,O=C1CCCCC1,-0.6
sample_113,CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6
sample_114,CC(O)C(C)(C)C,-0.62
sample_115,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,-0.63
sample_116,ClCCl,-0.63
sample_117,CCCCOC(N)=O,-0.66
sample_118,CCCOCC,-0.66
sample_119,CCOC(=O)CC,-0.66
sample_120,Cc1cccc(O)c1,-0.68
sample_121,O=CNc1ccccc1,-0.68
sample_122,Oc1ccc(Cl)cc1,-0.7
sample_123,Oc1cccc(Cl)c1,-0.7
sample_124,Cc1ccc(O)cc1,-0.7
sample_125,CCC(O)C(C)C,-0.7
sample_126,OCCOc1ccccc1,-0.71
sample_127,CCC(C)C(C)O,-0.72
sample_128,CCCOC(C)=O,-0.72
sample_129,CC(C)(C)C(C)(C)O,-0.72
sample_130,Nc1ccccc1O,-0.72
sample_131,OCCN(CCO)c1ccccc1,-0.73
sample_132,C=CC(=O)OCC,-0.74
sample_133,O=[N+]([O-])c1ccc(O)cc1,-0.74
sample_134,ONc1ccccc1,-0.74
sample_135,NC(=O)CC(N)C(=O)O,-0.74
sample_136,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,-0.77
sample_137,CCOCCOCC,-0.77
sample_138,c1ccc2[nH]nnc2c1,-0.78
sample_139,Nc1ccc(O)cc1,-0.8
sample_140,Cn1ccc(=O)[nH]c1=O,-0.8
sample_141,CCCC(O)CC,-0.8
sample_142,C=C(C)C(=O)OC,-0.8
sample_143,CC(C)(C)COC(N)=O,-0.8
sample_144,CCOC(=O)CC(=O)OCC,-0.82
sample_145,c1ccoc1,-0.82
sample_146,CCCC(=O)OC,-0.82
sample_147,C=CCSS(=O)CC=C,-0.83
sample_148,C=CC(=O)CCC,-0.83
sample_149,O=C(O)c1cccnc1,-0.84
sample_150,CCCCC=O,-0.85
sample_151,CN(N=O)C(N)=O,-0.85
sample_152,C=COCC,-0.85
sample_153,Cc1cccc(N)c1,-0.85
sample_154,CCC(O)(CC)CC,-0.85
sample_155,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.85
sample_156,O=Cc1ccccc1O,-0.86
sample_157,Clc1cnc2cncnc2n1,-0.87
sample_158,CC1CCC(O)CC1,-0.88
sample_159,CCCC(C(C)=O)C(C)=O,-0.88
sample_160,ClCBr,-0.89
sample_161,O=C(O)Cc1ccccc1,-0.89
sample_162,CC(=O)NC(N)=O,-0.9
sample_163,COc1cnc2cncnc2n1,-0.91
sample_164,CC(O)c1ccccc1,-0.92
sample_165,CC(C)CC(C)(C)O,-0.92
sample_166,CCOC(=O)CCC(=O)OCC,-0.96
sample_167,CC=CCC#N,-0.96
sample_168,NC(=O)c1ccccc1,-0.96
sample_169,O=Cc1ccc(O)cc1,-0.96
sample_170,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.97
sample_171,CC(=O)Nc1ccc(N)cc1,-0.98
sample_172,O=C1C=CC(=O)C=C1,-0.99
sample_173,CCCCOC,-0.99
sample_174,CI,-1
sample_175,CCCC(C)(O)CC,-1
sample_176,CC(C)COC=O,-1.01
sample_177,CC(=O)Nc1ccc(O)cc1,-1.03
sample_178,c1ccc2c(c1)CCN2,-1.04
sample_179,O=c1[nH]cc(F)c(=O)[nH]1,-1.07
sample_180,CCCCC(C)(C)O,-1.08
sample_181,Oc1ccc(Br)cc1,-1.09
sample_182,CCBr,-1.09
sample_183,CC(C)OC(C)C,-1.1
sample_184,O=C(O)COc1ccccc1,-1.1
sample_185,COc1ncc2nccnc2n1,-1.11
sample_186,COc1ncnc2nccnc12,-1.11
sample_187,NCCc1ccc(O)cc1,-1.12
sample_188,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,-1.13
sample_189,CC(C)CCCO,-1.14
sample_190,Nc1cc[nH]c(=O)n1,-1.14
sample_191,c1ccc2ocnc2c1,-1.16
sample_192,O=S(CCCl)CCCl,-1.16
sample_193,CCC(CC)CO,-1.17
sample_194,ClC(Cl)Cl,-1.17
sample_195,Cc1ccc(O)c(C)c1,-1.19
sample_196,O=Cc1ccccc1,-1.19
sample_197,Cc1ccc(CO)cc1,-1.2
sample_198,COC(=O)C1C2C=CC(C2)C1C(=O)OC,-1.2
sample_199,C=CC(=O)OCC(C)C,-1.21
sample_200,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-1.22
sample_201,CC(C)C(O)C(C)C,-1.22
sample_202,NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.23
sample_203,CC(=O)NS(=O)(=O)c1ccc(N)cc1,-1.23
sample_204,CCCCOC(C)=O,-1.24
sample_205,CCCCCCO,-1.24
sample_206,O=C1NC(=O)C(=O)C(=O)N1,-1.25
sample_207,CCC(C)(O)C(C)(C)C,-1.27
sample_208,CC(=O)c1ccccc1,-1.28
sample_209,CC(=O)c1cccc(N)c1,-1.28
sample_210,CCCC(=O)OCC,-1.28
sample_211,CC(Cl)Cl,-1.29
sample_212,COc1ccc(NC(C)=O)cc1,-1.3
sample_213,c1ccc2ncccc2c1,-1.3
sample_214,CCCCCC=O,-1.3
sample_215,ClCCBr,-1.32
sample_216,CC(=O)Nc1ccccc1,-1.33
sample_217,CC(=O)CCC(C)C,-1.33
sample_218,CCc1ccccc1O,-1.36
sample_219,CCCCC(=O)OC,-1.36
sample_220,N=C(N)N[N+](=O)[O-],-1.37
sample_221,Nc1cccc(Cl)c1,-1.37
sample_222,OCCCc1ccccc1,-1.38
sample_223,CC(C)CCC(C)O,-1.38
sample_224,CCC1(CC)C(=O)NC(=O)NC1=O,-1.39
sample_225,Cc1cc(C)cc(O)c1,-1.4
sample_226,CCN(CC)CCOC(=O)c1ccc(N)cc1,-1.4
sample_227,CC(=O)Nc1ccccc1Cl,-1.4
sample_228,CCCC(O)CCC,-1.4
sample_229,O=C(O)CCc1ccccc1,-1.41
sample_230,CCCCCC(C)=O,-1.42
sample_231,c1ccc(-c2ccccn2)nc1,-1.42
sample_232,Cc1cccc(O)c1C,-1.43
sample_233,CCCCNCCCC,-1.44
sample_234,c1ccsc1,-1.45
sample_235,c1ccc2cnccc2c1,-1.45
sample_236,O=C(O)c1ccsc1,-1.47
sample_237,CCCCl,-1.47
sample_238,ClCC(Cl)Cl,-1.48
sample_239,COc1ccc(C=O)cc1,-1.49
sample_240,O=S(=O)(CCCl)CCCl,-1.5
sample_241,N=C(N)NCC(=O)O,-1.51
sample_242,c1ccc2[nH]ccc2c1,-1.52
sample_243,CCCC(C)(C)CO,-1.52
sample_244,Nc1ccccc1C(=O)O,-1.52
sample_245,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,-1.52
sample_246,NCc1ccccc1,-1.53
sample_247,c1cc(-c2ccncc2)ccn1,-1.54
sample_248,Cc1ccc(C)c(O)c1,-1.54
sample_249,CC(C)(C)CCCO,-1.55
sample_250,O=C(O)c1ccccc1,-1.55
sample_251,Cc1cccc(C)c1NC(=O)C1CCCCN1C,-1.55
sample_252,CSc1cnc2cncnc2n1,-1.55
sample_253,Oc1ccc(Cl)cc1Cl,-1.55
sample_254,CCCCCC(C)O,-1.55
sample_255,CCCCC(=O)CC(C)=O,-1.56
sample_256,C=CCc1ccc(O)c(OC)c1,-1.56
sample_257,Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O,-1.56
sample_258,Cc1cc(O)ccc1Cl,-1.57
sample_259,CNC(=O)Oc1ccccc1C1OCCO1,-1.57
sample_260,CC(=O)Nc1ccc(C=O)cc1,-1.58
sample_261,COC(=O)c1ccc(N)cc1,-1.59
sample_262,c1ccc(C2CO2)cc1,-1.6
sample_263,CC(Cl)CCl,-1.6
sample_264,CC(=O)CC(=O)CC(C)C,-1.6
sample_265,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,-1.6
sample_266,O=C(O)c1ccccc1C(F)(F)F,-1.6
sample_267,CC(C)CC(C)CO,-1.6
sample_268,CN(C)C(=O)Nc1ccccc1,-1.6
sample_269,CC(=O)Nc1ccc(S(N)(=O)=O)cc1,-1.61
sample_270,COc1ccc(CC2NCC(O)C2OC(C)=O)cc1,-1.61
sample_271,CNC(=O)ON=C(CSC)C(C)(C)C,-1.62
sample_272,C=CCN(CC=C)C(=O)C(Cl)Cl,-1.62
sample_273,ClCCCCl,-1.62
sample_274,CCCOCCC,-1.62
sample_275,O=Cc1ccc2c(c1)OCO2,-1.63
sample_276,c1ccccc1,-1.64
sample_277,C=C(Cl)Cl,-1.64
sample_278,O=C1NS(=O)(=O)c2ccccc21,-1.64
sample_279,CC12CCC(CC1)C(C)(C)O2,-1.64
sample_280,CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.64
sample_281,Nc1ccc(Cl)cc1,-1.66
sample_282,CCCC(C)(COC(N)=O)COC(N)=O,-1.67
sample_283,CC(=O)OC1CCCCC1,-1.67
sample_284,O=C(O)c1cccc([N+](=O)[O-])c1,-1.68
sample_285,BrCCBr,-1.68
sample_286,COc1c(Cl)ccc(Cl)c1C(=O)O,-1.7
sample_287,CCNc1ccccc1,-1.7
sample_288,CCCCCCC=O,-1.7
sample_289,FC(F)(F)C(Cl)Br,-1.71
sample_290,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,-1.71
sample_291,CCCCCC(C)(C)O,-1.72
sample_292,CCCCC(C)C(C)O,-1.72
sample_293,O=C1C=CC(O)(c2cc(O)ccc2O)C=C1,-1.73
sample_294,CCCBr,-1.73
sample_295,O=[N+]([O-])c1ccccc1O,-1.74
sample_296,ClC(Cl)C(Cl)Cl,-1.74
sample_297,Cc1ccc(S(N)(=O)=O)cc1,-1.74
sample_298,CCCCC(=O)OCC,-1.75
sample_299,CSc1ncc2nccnc2n1,-1.76
sample_300,NC(=O)c1ccccc1O,-1.76
sample_301,CCN(CC)CC(=O)Nc1c(C)cccc1C,-1.76
sample_302,CC=CC=CC(=O)O,-1.77
sample_303,NC(=S)Nc1ccccc1,-1.77
sample_304,O=C1CSC(=S)N1,-1.77
sample_305,COC(=O)c1ccc(O)cc1,-1.78
sample_306,CCCOC(=O)c1cc(O)c(O)c(O)c1,-1.78
sample_307,CC(=O)Nc1ccc(F)cc1,-1.78
sample_308,O=[N+]([O-])c1ccccc1,-1.8
sample_309,CNC(=O)Oc1cccc(C)c1,-1.8
sample_310,Fc1ccccc1,-1.8
sample_311,CCCCCCCO,-1.81
sample_312,O=C(O)c1ccccc1O,-1.82
sample_313,CCC(=O)c1ccccc1,-1.83
sample_314,CC(=O)N=c1sc(S(N)(=O)=O)nn1C,-1.83
sample_315,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,-1.84
sample_316,CCCCOCCCC,-1.85
sample_317,COc1ccccc1,-1.85
sample_318,CCCC(CCC)C(=O)O,-1.86
sample_319,COc1ccc2c(c1O)C13CCN(C)C1(C=CC(=O)C3)CC2,-1.87
sample_320,CC1CCCC(=O)C1,-1.87
sample_321,C1CCN2CC3CC(CN4CCCCC34)C2C1,-1.89
sample_322,CCCCCOC(C)=O,-1.89
sample_323,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,-1.89
sample_324,COc1ccc2c(c1OC)C(=O)OC2,-1.89
sample_325,O=C(O)CCCCCCCC(=O)O,-1.89
sample_326,ClC(Br)Br,-1.9
sample_327,BrC(Br)Br,-1.91
sample_328,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-1.91
sample_329,CC(=O)Nc1ccc(OC(C)=O)cc1,-1.91
sample_330,CCCOC(=O)CCC,-1.92
sample_331,COc1ccc(C=O)c(C(=O)O)c1OC,-1.92
sample_332,CCCCCCOC(N)=O,-1.92
sample_333,CN(C)c1ccccc1,-1.92
sample_334,CCC(=O)Nc1ccccc1,-1.92
sample_335,CC(=O)OCCC(C)C,-1.92
sample_336,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,-1.93
sample_337,OC(c1ccccc1)C(O)c1ccccc1,-1.93
sample_338,CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-1.94
sample_339,Cc1ccc2ccc(C)nc2c1,-1.94
sample_340,Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-1.95
sample_341,COc1ccccc1[N+](=O)[O-],-1.96
sample_342,O=C(O)C=Cc1c[nH]cn1,-1.96
sample_343,CCC(C)Cl,-1.96
sample_344,Nc1ccccc1[N+](=O)[O-],-1.96
sample_345,C1=CCC=CC1,-1.97
sample_346,Oc1ccc2c(c1)CCCC2,-1.99
sample_347,CC(Cl)(Cl)Cl,-2
sample_348,Cc1ccccc1S(N)(=O)=O,-2.02
sample_349,CCCCCl,-2.03
sample_350,CCCCCCC(C)=O,-2.05
sample_351,CNC(=O)Oc1ccccc1OC(C)C,-2.05
sample_352,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,-2.06
sample_353,C=C(C(=O)O)c1ccccc1,-2.06
sample_354,C=C(C)C1CC=C(C)C(=O)C1,-2.06
sample_355,Cc1ccccc1C(=O)O,-2.06
sample_356,OC1CCN2C1=Nc1ccccc1C2O,-2.07
sample_357,O=C(O)Cc1c[nH]c2ccccc12,-2.07
sample_358,Cc1ccc(C(C)C)cc1O,-2.08
sample_359,CC(=O)Nc1cccc(C)c1,-2.09
sample_360,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,-2.09
sample_361,CC(C)I,-2.09
sample_362,C=CCC=C,-2.09
sample_363,CCCCCCC(C)O,-2.09
sample_364,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,-2.09
sample_365,OCc1c(Cl)cccc1Cl,-2.1
sample_366,CCCCC(CC)CO,-2.11
sample_367,O=C(O)c1ccccc1C(=O)O,-2.11
sample_368,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-2.12
sample_369,Sc1ccccc1,-2.12
sample_370,Nc1ncnc2[nH]cnc12,-2.12
sample_371,CN1CSC(=S)N(C)C1,-2.13
sample_372,Cc1cccc(C(=O)O)c1,-2.14
sample_373,O=c1ccc2ccccc2[nH]1,-2.14
sample_374,CC(C)CNC(=O)N1CCNC1=O,-2.15
sample_375,C1=CC=CCC=C1,-2.15
sample_376,O=C(O)COc1ccccc1Cl,-2.16
sample_377,Oc1ccc2ncccc2c1,-2.16
sample_378,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17
sample_379,CCOc1ccc(NC(N)=O)cc1,-2.17
sample_380,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-2.18
sample_381,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,-2.18
sample_382,ClCC(Cl)(Cl)Cl,-2.18
sample_383,O=[N+]([O-])c1ccc(C=NO)o1,-2.19
sample_384,Nc1cccc([N+](=O)[O-])c1,-2.19
sample_385,CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.21
sample_386,Cc1ccccc1,-2.21
sample_387,O=C(O)C(O)(c1ccccc1)c1ccccc1,-2.21
sample_388,Oc1cccc2ccccc12,-2.22
sample_389,Cc1ccc(C(C)C)c(O)c1,-2.22
sample_390,CC(Oc1ccccc1Cl)C(=O)O,-2.22
sample_391,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.22
sample_392,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-2.23
sample_393,Cc1cc(Cl)ccc1OCC(=O)O,-2.23
sample_394,CCCCc1c(C)nc(N(C)C)nc1O,-2.24
sample_395,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.24
sample_396,CC(=O)Nc1ccccc1O,-2.24
sample_397,O=c1cc[nH]c(=S)[nH]1,-2.26
sample_398,Oc1ccc2ccccc2c1,-2.28
sample_399,O=C1NC(=O)C([N+](=O)[O-])C(=O)N1,-2.28
sample_400,CCCI,-2.29
sample_401,CCCCCCCC(=O)O,-2.3
sample_402,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1,-2.3
sample_403,Fc1cc(F)c(F)c(F)c1,-2.31
sample_404,ClC(Cl)(Cl)Cl,-2.31
sample_405,CCOC(=O)c1ccccc1,-2.32
sample_406,CC1(C)C2CCC1(C)C(O)C2,-2.32
sample_407,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,-2.32
sample_408,CCCOC(=O)c1ccc(N)cc1,-2.33
sample_409,NNC(=O)Nc1ccccc1,-2.33
sample_410,COC(=O)c1ccccc1O,-2.34
sample_411,Oc1c(Cl)cc(Cl)cc1Cl,-2.34
sample_412,CCC1(c2ccccc2)CCC(=O)NC1=O,-2.34
sample_413,CCc1cccc(CC)c1N,-2.35
sample_414,CCOC(=O)c1ccccc1C(=O)OCC,-2.35
sample_415,CCOC(=O)c1ccc(O)cc1,-2.35
sample_416,CCCCCCCC=O,-2.36
sample_417,C#CCCCC,-2.36
sample_418,CN(C)C(=O)NC1CCCCCCC1,-2.36
sample_419,CSc1ncnc2nccnc12,-2.36
sample_420,S=c1ncc2nccnc2[nH]1,-2.36
sample_421,CCOc1ccc(NC(C)=O)cc1,-2.37
sample_422,CCCCBr,-2.37
sample_423,Clc1ccccc1,-2.38
sample_424,ClCC(Br)CBr,-2.38
sample_425,N#Cc1ccccc1C#N,-2.38
sample_426,Oc1ncnc2[nH]ncc12,-2.38
sample_427,ClCc1ccccc1,-2.39
sample_428,Oc1ccccc1-c1ccccc1,-2.39
sample_429,CSc1ccccc1,-2.39
sample_430,CCCC(Cl)Cl,-2.4
sample_431,COC(=O)c1ccc(OC)cc1,-2.41
sample_432,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-2.41
sample_433,COc1ccc([N+](=O)[O-])cc1,-2.41
sample_434,Cc1c[nH]c2ccccc12,-2.42
sample_435,CC(C)CBr,-2.43
sample_436,Cc1cc(=O)[nH]c(=S)[nH]1,-2.43
sample_437,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,-2.43
sample_438,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-2.43
sample_439,Cc1cccc([N+](=O)[O-])c1,-2.44
sample_440,Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C,-2.44
sample_441,Cc1cnc(S)nc1O,-2.45
sample_442,CC(Oc1ccc(Cl)cc1Cl)C(=O)O,-2.45
sample_443,Nc1cc(Cl)cc(C(=O)O)c1Cl,-2.47
sample_444,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,-2.48
sample_445,O=C(O)C=Cc1ccccc1,-2.48
sample_446,CC(C)N(C(=O)CCl)c1ccccc1,-2.48
sample_447,O=C(O)COc1ccc(Cl)cc1Cl,-2.51
sample_448,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12,-2.52
sample_449,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,-2.52
sample_450,COc1cc(Cl)c(Cl)cc1O,-2.53
sample_451,CC=CCC,-2.54
sample_452,Fc1ccc(CCl)cc1,-2.54
sample_453,Oc1cccc2ncccc12,-2.54
sample_454,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,-2.54
sample_455,Cc1cc(Cl)ccc1OC(C)C(=O)O,-2.55
sample_456,CC1=C(C(=O)Nc2ccccc2)CCCO1,-2.56
sample_457,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.57
sample_458,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,-2.58
sample_459,CCCCCCCC(C)=O,-2.58
sample_460,C1=CCCCC1,-2.59
sample_461,O=C(O)c1cccc(Cl)c1,-2.59
sample_462,CCc1cccs1,-2.59
sample_463,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,-2.6
sample_464,ClC(Cl)C(Cl)(Cl)Cl,-2.6
sample_465,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,-2.6
sample_466,O=C(O)Cn1c(=O)sc2cccc(Cl)c21,-2.61
sample_467,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,-2.62
sample_468,CCCCCCCOC(N)=O,-2.62
sample_469,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-2.62
sample_470,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,-2.63
sample_471,CCC(=O)c1ccc(N)cc1,-2.63
sample_472,CCCC(C)Cl,-2.63
sample_473,C1CCCC1,-2.64
sample_474,CN(C)CCN(Cc1ccccc1)c1ccccn1,-2.64
sample_475,CN(C)CCN(Cc1cccs1)c1ccccn1,-2.64
sample_476,O=C(O)Cc1cccc2ccccc12,-2.65
sample_477,CC(C)N1C(=O)c2ccccc2NS1(=O)=O,-2.68
sample_478,C=CCCC=C,-2.68
sample_479,C=CCCC,-2.68
sample_480,c1cnc2c(c1)ccc1ncccc12,-2.68
sample_481,CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.69
sample_482,CC(Cl)C(C)(C)Cl,-2.69
sample_483,CC(Cl)C(C)Cl,-2.7
sample_484,Nc1ccc(-c2ccc(N)cc2)cc1,-2.7
sample_485,NCCCCCCCCCCC(=O)O,-2.7
sample_486,CCCCCCC(=O)OCC,-2.71
sample_487,CCOc1ccc(C(=O)OCCN(CC)CC)cc1,-2.71
sample_488,CCCCOC(=O)c1ccc(O)cc1,-2.72
sample_489,O=C(O)c1ccccc1I,-2.73
sample_490,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,-2.73
sample_491,CCCCCCl,-2.73
sample_492,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,-2.74
sample_493,CCCCCCCCC(=O)O,-2.75
sample_494,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,-2.75
sample_495,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-2.76
sample_496,S=c1[nH]cnc2nccnc12,-2.77
sample_497,c1ccc2c(c1)cnc1ccccc12,-2.78
sample_498,Cc1cc(O)cc(C)c1Cl,-2.8
sample_499,Cc1ccccc1C,-2.8
sample_500,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-2.81
sample_501,Cn1c(=O)on(-c2ccc(Cl)c(Cl)c2)c1=O,-2.82
sample_502,Cc1cccc(C)c1,-2.82
sample_503,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,-2.82
sample_504,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-2.82
sample_505,CC(=O)Nc1ccc(Cl)cc1,-2.84
sample_506,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,-2.85
sample_507,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,-2.86
